ID,time,layer,row,col,lon,lat,HGMM,HGMM_RF,MSPGL_label
1,1595471,12,3341,1520,113.6426,42.03297,N,N,N
2,1595488,12,3339,1520,113.4668,42.03297,N,N,N
3,1595488,12,3341,1520,113.6426,42.03297,N,N,N
4,1595490,13,6682,3042,113.6426,41.96766,N,N,N
5,1595490,13,6683,3041,113.6865,42.00033,N,N,N
6,1595507,16,53483.5,24349,113.7936,41.91454,Y,Y,N
7,1595517,16,53485.5,24347,113.8046,41.92272,Y,Y,N
8,1595519,16,53480,24347,113.7744,41.92272,Y,Y,N
9,1595521,16,53479,24346,113.7689,41.9268,Y,Y,N
10,1595524,16,53477,24346,113.7579,41.9268,Y,Y,N
11,1595527,16,53476,24346,113.7524,41.9268,Y,Y,N
12,1595527,15,26740,12172,113.7744,41.93498,Y,Y,N
13,1595528,14,13367,6085,113.7085,41.95132,N,N,N
14,1595530,14,13366,6085,113.6865,41.95132,N,N,N
15,1595530,14,13367,6086,113.7085,41.93498,N,N,N
16,1595534,15,26742,12170,113.7964,41.95132,Y,Y,N
17,1595534,15,26738,12170,113.7524,41.95132,Y,Y,N
18,1595536,16,53481.5,24343,113.7827,41.93906,Y,Y,N
19,1595536,16,53478,24342,113.7634,41.94315,Y,Y,N
20,1595541,17,106959,48688.5,113.7717,41.93395,Y,Y,N
21,1595548,17,106963,48686,113.7827,41.93906,Y,Y,N
22,1595554,18,213925,97376.5,113.7813,41.93447,Y,Y,N
23,1595558,19,427852.5,194755.5,113.783,41.93319,Y,Y,Y
24,1595560,19,427854,194753,113.784,41.93447,Y,Y,Y
25,1595568,19,427858,194754.5,113.7868,41.9337,Y,Y,Y
26,1595569,18,213932,97375,113.7909,41.936,Y,Y,N
27,1595569,18,213932,97375,113.7909,41.936,Y,Y,N
28,1595570,17,106967,48689,113.7936,41.93293,Y,Y,N
29,1595570,17,106968,48689,113.7964,41.93293,Y,Y,N
30,1595692,15,26743,12170,113.8074,41.95132,Y,Y,N
31,1595692,15,26746,12169,113.8403,41.95949,N,N,N
32,1595694,14,13374.5,6084,113.8733,41.96766,N,N,N
33,1595696,14,13375,6082,113.8843,42.00033,N,N,N
34,1595700,13,6686,3040,113.8184,42.03297,N,N,N
35,1595702,12,3340,1519,113.5547,42.09822,N,N,N
36,1595712,12,3348,1518,114.2578,42.1634,Y,Y,N
37,1595716,12,3351,1518,114.5215,42.1634,N,N,N
38,1595716,12,3351,1518,114.5215,42.1634,N,N,N
39,1595717,13,6696.5,3039,114.2798,42.06561,Y,Y,N
40,1595718,13,6700,3040,114.4336,42.03297,Y,Y,N
41,1595725,14,13392,6080,114.2578,42.03297,Y,Y,N
42,1595729,14,13396,6078,114.3457,42.06561,Y,Y,N
43,1595729,14,13396,6078,114.3457,42.06561,Y,Y,N
44,1595732,15,26785,12159.5,114.2688,42.03705,Y,Y,N
45,1595732,15,26790,12161,114.3237,42.02481,Y,Y,N
46,1595747,16,53570.5,24322,114.2715,42.02481,Y,Y,N
47,1595752,17,107145,48646,114.2825,42.02073,Y,Y,N
48,1595756,18,214290.5,97294,114.2832,42.01869,Y,Y,Y
49,1595756,18,214294,97294,114.288,42.01869,Y,Y,Y
50,1595762,17,107148,48646,114.2908,42.02073,Y,Y,N
51,1595763,16,53576,24322,114.3018,42.02481,Y,Y,N
52,1595763,16,53577,24322,114.3073,42.02481,Y,Y,N
53,1595763,17,107149,48646,114.2935,42.02073,Y,Y,N
